,id_code,id_name,state,E31_amnt,E80_amnt,E81_amnt,E91_amnt
0,47000000000000,VIRGINIA,VIRGINIA,      250379,          91,        2933,        1421
1,47100200200000,ALBEMARLE COUNTY,VIRGINIA,        3966,,          53,
2,47100200200000,RIVANNA WATER AND SEWER AUTHORITY,VIRGINIA,        3966,,          53,
3,47100200200000,CHARLOTTESVILLE-ALBEMARLE AIRPORT AUTHORITY,VIRGINIA,        3966,,          53,
4,47100600600000,APPOMATTOX COUNTY,VIRGINIA,         616,,        1108,
5,47100700700000,ARLINGTON COUNTY,VIRGINIA,       17496,       43553,       15415,       15289
6,47100700700000,NORTHERN VIRGINIA TRANSPORTATION COMMISSION,VIRGINIA,       17496,       43553,       15415,       15289
7,47100700700000,METROPOLITAN WASHINGTON AIRPORTS AUTHORITY,VIRGINIA,       17496,       43553,       15415,       15289
8,47100800800000,AUGUSTA COUNTY,VIRGINIA,        1377,,        2284,
9,47101001000000,BEDFORD COUNTY,VIRGINIA,        1513,,        5456,
10,47101001000000,BEDFORD TOWN,VIRGINIA,        1513,,        5456,
11,47101001000000,BLUE RIDGE REGIONAL JAIL AUTHORITY,VIRGINIA,        1513,,        5456,
12,47101401400000,BUCHANAN COUNTY,VIRGINIA,        1864,        5097,        3783,        4656
13,47101401400000,BUCHANAN CO TOURIST TRAIN DEV AUTH,VIRGINIA,        1864,        5097,        3783,        4656
14,47101601600000,CAMPBELL COUNTY,VIRGINIA,        1710,,,          98
15,47101701700000,CAROLINE COUNTY,VIRGINIA,        1524,        1209,        1399,         993
16,47101801800000,CARROLL COUNTY,VIRGINIA,        1040,,        1439,
17,47101801800000,NEW RIVER REGIONAL WATER AUTHORITY,VIRGINIA,        1040,,        1439,
18,47102002000000,CHARLOTTE COUNTY,VIRGINIA,         481,,,
19,47102102100000,CHESTERFIELD COUNTY,VIRGINIA,        6762,       21410,        1619,       26453
20,47102402400000,CULPEPER COUNTY,VIRGINIA,        1158,         918,        1997,         837
21,47102602600000,DICKENSON COUNTY,VIRGINIA,         980,,        2198,
22,47102602600000,BREAKS INTERSTATE PARK COMMISSION,VIRGINIA,         980,,        2198,
23,47102702700000,DINWIDDIE COUNTY,VIRGINIA,        2079,         255,        1366,
24,47103003000000,FAIRFAX COUNTY,VIRGINIA,       71309,      128075,       76718,       90287
25,47103003000000,HERNDON TOWN,VIRGINIA,       71309,      128075,       76718,       90287
26,47103003000000,VIENNA TOWN,VIRGINIA,       71309,      128075,       76718,       90287
27,47103003000000,NORTHERN VIRGINIA REGIONAL PARK AUTHORITY,VIRGINIA,       71309,      128075,       76718,       90287
28,47103103100000,FAUQUIER COUNTY,VIRGINIA,        5095,,        8746,
29,47103503500000,FREDERICK COUNTY,VIRGINIA,        5631,,,
30,47103503500000,STEPHENS CITY TOWN,VIRGINIA,        5631,,,
31,47103603600000,GILES COUNTY,VIRGINIA,         902,,,
32,47103603600000,PEARISBURG TOWN,VIRGINIA,         902,,,
33,47103603600000,RICH CREEK TOWN,VIRGINIA,         902,,,
34,47103703700000,GLOUCESTER COUNTY,VIRGINIA,         888,         434,,        8283
35,47103803800000,GOOCHLAND COUNTY,VIRGINIA,,        2140,         878,        1955
36,47104204200000,HALIFAX COUNTY,VIRGINIA,,,        3019,
37,47104204200000,HALIFAX TOWN,VIRGINIA,,,        3019,
38,47104204200000,SOUTH BOSTON TOWN,VIRGINIA,,,        3019,
39,47104304300000,HANOVER COUNTY,VIRGINIA,        4489,        8013,        6771,        8013
40,47104304300000,PAMUNKEY REGIONAL JAIL AUTHORITY,VIRGINIA,        4489,        8013,        6771,        8013
41,47104404400000,HENRICO COUNTY,VIRGINIA,        9454,       26845,       14621,       20540
42,47104404400000,CAPITAL REGION AIRPORT COMMISSION,VIRGINIA,        9454,       26845,       14621,       20540
43,47104704700000,ISLE OF WIGHT COUNTY,VIRGINIA,        1258,        2514,        3849,        5074
44,47104804800000,JAMES CITY COUNTY,VIRGINIA,        4301,,        3274,
45,47104804800000,JAMES CITY SERVICE AUTHORITY,VIRGINIA,        4301,,        3274,
46,47105005000000,KING GEORGE COUNTY,VIRGINIA,        1661,        1724,         227,        1574
47,47105205200000,LANCASTER COUNTY,VIRGINIA,,,        1319,
48,47105405400000,LOUDOUN COUNTY,VIRGINIA,       16268,        1971,        5274,        5234
49,47105405400000,LEESBURG TOWN,VIRGINIA,       16268,        1971,        5274,        5234
50,47105405400000,PURCELLVILLE TOWN,VIRGINIA,       16268,        1971,        5274,        5234
51,47105505500000,LOUISA COUNTY,VIRGINIA,        2825,        1007,        1273,        1600
52,47105905900000,MECKLENBURG COUNTY,VIRGINIA,         781,,        1140,
53,47105905900000,ROANOKE RIVER SERVICE AUTHORITY,VIRGINIA,         781,,        1140,
54,47106106100000,MONTGOMERY COUNTY,VIRGINIA,        2358,        2090,        3183,        2267
55,47106106100000,BLACKSBURG TOWN,VIRGINIA,        2358,        2090,        3183,        2267
56,47106106100000,CHRISTIANSBURG TOWN,VIRGINIA,        2358,        2090,        3183,        2267
57,47106106100000,NEW RIVER VALLEY EMERGENCY COMMUNICATIONS REGIONAL AUTHORITY,VIRGINIA,        2358,        2090,        3183,        2267
58,47106106100000,MONTGOMERY REGIONAL SOLID WASTE AUTHORITY,VIRGINIA,        2358,        2090,        3183,        2267
59,47106106100000,VIRGINIA TECH-MONTGOMERY REGIONAL AIRPORT AUTHORITY,VIRGINIA,        2358,        2090,        3183,        2267
60,47106406400000,NEW KENT COUNTY,VIRGINIA,         902,,         972,        2752
61,47106906900000,ORANGE COUNTY,VIRGINIA,         417,,        2302,
62,47106906900000,CENTRAL VIRGINIA REGIONAL JAIL AUTHORITY,VIRGINIA,         417,,        2302,
63,47107207200000,PITTSYLVANIA COUNTY,VIRGINIA,        1092,,        2048,
64,47107607600000,PRINCE WILLIAM COUNTY,VIRGINIA,       31742,       56046,       11727,       32661
65,47107607600000,POTOMAC AND RAPPAHANNOCK TRANSPORTATION COMMISSION,VIRGINIA,       31742,       56046,       11727,       32661
66,47107607600000,UPPER OCCOQUAN SEWAGE AUTHORITY,VIRGINIA,       31742,       56046,       11727,       32661
67,47107907900000,RAPPAHANNOCK COUNTY,VIRGINIA,        1073,,,
68,47108108100000,ROANOKE COUNTY,VIRGINIA,        5222,,        4957,
69,47108108100000,WESTERN VIRGINIA WATER AUTHORITY,VIRGINIA,        5222,,        4957,
70,47108308300000,ROCKINGHAM COUNTY,VIRGINIA,        2052,        2886,        4099,        3163
71,47108308300000,HARRISONBURG-ROCKINGHAM REGIONAL SEWER AUTHORITY,VIRGINIA,        2052,        2886,        4099,        3163
72,47108908900000,SPOTSYLVANIA COUNTY,VIRGINIA,        6379,        8521,        3864,       11609
73,47109009000000,STAFFORD COUNTY,VIRGINIA,        3491,        1707,,       32572
74,47109309300000,TAZEWELL COUNTY,VIRGINIA,        1339,,        2317,
75,47109609600000,WASHINGTON COUNTY,VIRGINIA,        1384,,        2021,
76,47109609600000,SOUTHWEST VIRGINIA REGIONAL JAIL AUTHORITY,VIRGINIA,        1384,,        2021,
77,47109809800000,WISE COUNTY,VIRGINIA,         872,,        1729,
78,47109809800000,WISE COUNTY PUBLIC SERVICE AUTHORITY,VIRGINIA,         872,,        1729,
79,47110010000000,YORK COUNTY,VIRGINIA,,        8116,        4414,         327
80,47202200100000,BERRYVILLE TOWN,VIRGINIA,          25,        1111,         269,         745
81,47207800200000,PULASKI TOWN,VIRGINIA,         210,        2926,           4,        6133
82,47207800200000,PULASKI COUNTY PUBLIC SERVICE AUTHORITY,VIRGINIA,         210,        2926,           4,        6133
83,47208600600000,WOODSTOCK TOWN,VIRGINIA,         111,        1762,         244,        1461
84,47208700200000,MARION TOWN,VIRGINIA,,         673,         228,         992
85,47209700100000,COLONIAL BEACH TOWN,VIRGINIA,         461,         908,         144,         671
86,47210100100000,ALEXANDRIA CITY,VIRGINIA,       15105,       40956,,
87,47210200100000,BRISTOL CITY,VIRGINIA,         149,,        6625,
88,47210200100000,BVU AUTHORITY,VIRGINIA,         149,,        6625,
89,47210400100000,CHARLOTTESVILLE CITY,VIRGINIA,        6179,       12187,        1935,        9006
90,47210570100000,CHESAPEAKE CITY,VIRGINIA,        8242,       21152,        9255,       33926
91,47210570100000,CHESAPEAKE HOSPITAL AUTHORITY,VIRGINIA,        8242,       21152,        9255,       33926
92,47210700100000,COLONIAL HEIGHTS CITY,VIRGINIA,         812,        3703,         886,        1862
93,47210900100000,DANVILLE CITY,VIRGINIA,        2293,        4627,        3495,        3878
94,47210900100000,DANVILLE-PITTSYLVANIA IND FACILITY AUTH,VIRGINIA,        2293,        4627,        3495,        3878
95,47211050100000,FAIRFAX CITY,VIRGINIA,,        6419,        2885,
96,47211100100000,FALLS CHURCH CITY,VIRGINIA,         500,        1283,         561,        2058
97,47211270100000,FRANKLIN CITY,VIRGINIA,        1049,        1076,         849,         822
98,47211300100000,FREDERICKSBURG CITY,VIRGINIA,        2129,        3147,        2032,        2636
99,47211300100000,RAPPAHANNOCK REGIONAL JAIL AUTHORITY,VIRGINIA,        2129,        3147,        2032,        2636
100,47211300100000,CENTRAL RAPPAHANNOCK REGIONAL LIBRARY,VIRGINIA,        2129,        3147,        2032,        2636
101,47211400100000,GALAX CITY,VIRGINIA,         114,        1089,,        1101
102,47211500100000,HAMPTON CITY,VIRGINIA,        4437,       10592,       13279,
103,47211600100000,HARRISONBURG CITY,VIRGINIA,         314,        9026,        9948,        3314
104,47211700100000,HOPEWELL CITY,VIRGINIA,        1334,       11268,        1864,
105,47211900100000,LYNCHBURG CITY,VIRGINIA,        4122,       13196,        2805,        9845
106,47212000100000,MARTINSVILLE CITY,VIRGINIA,         840,        2873,        1488,        1631
107,47212100100000,NEWPORT NEWS CITY,VIRGINIA,        7219,       27351,       12699,       54390
108,47212100100000,PENINSULA AIRPORT COMMISSION,VIRGINIA,        7219,       27351,       12699,       54390
109,47212200100000,NORFOLK CITY,VIRGINIA,       24850,       23046,       19119,       37831
110,47212200100000,SOUTHEASTERN PUBLIC SERVICE AUTHORITY,VIRGINIA,       24850,       23046,       19119,       37831
111,47212200100000,NORFOLK HOSPITAL AUTHORITY,VIRGINIA,       24850,       23046,       19119,       37831
112,47212200100000,TRANSPORTATION DISTRICT COMMISSION OF HAMPTON ROADS,VIRGINIA,       24850,       23046,       19119,       37831
113,47212400100000,PETERSBURG CITY,VIRGINIA,        4729,        3183,        1809,        5368
114,47212400100000,APPOMATTOX RIVER WATER AUTHORITY,VIRGINIA,        4729,        3183,        1809,        5368
115,47212500100000,PORTSMOUTH CITY,VIRGINIA,        3524,        5615,        9569,       13153
116,47212500100000,HAMPTON ROADS JAIL AUTHORITY,VIRGINIA,        3524,        5615,        9569,       13153
117,47212600100000,RADFORD CITY,VIRGINIA,         582,        1389,        1741,
118,47212700100000,RICHMOND CITY,VIRGINIA,,       51804,       18514,       43295
119,47212700100000,CENTRAL VIRGINIA WASTE MANAGEMENT AUTHORITY,VIRGINIA,,       51804,       18514,       43295
120,47212700100000,RICHMOND METROPOLITAN TRANSPORTATION AUTHORITY,VIRGINIA,,       51804,       18514,       43295
121,47212800100000,ROANOKE CITY,VIRGINIA,        3620,        4861,        5045,
